


更新时间,#genre#
CCTV6,http://124.77.202.8:49155/624878396
CCTV7,http://124.77.202.8:49155/673168121
CCTV8,http://124.77.202.8:49155/624878356
CCTV9,http://124.77.202.8:49155/673168140
CCTV10,http://124.77.202.8:49155/624878405
CCTV11,http://124.77.202.8:49155/667987558
CCTV12,http://124.77.202.8:49155/673168185
CCTV13,http://124.77.202.8:49155/608807423
CCTV14,http://124.77.202.8:49155/624878440
CCTV15,http://124.77.202.8:49155/673168223
CCTV17,http://124.77.202.8:49155/673168256

CCTV1,http://173.208.212.130:8181/1080p/cctv1.m3u8
CCTV2,http://173.208.212.130:8181/1080p/cctv2.m3u8
CCTV3,http://173.208.212.130:8181/1080p/cctv3.m3u8
CCTV4,http://173.208.212.130:8181/1080p/cctv4.m3u8
CCTV5,http://173.208.212.130:8181/1080p/cctv5.m3u8
CCTV6,http://173.208.212.130:8181/1080p/cctv6.m3u8
CCTV7,http://173.208.212.130:8181/1080p/cctv7.m3u8
CCTV8,http://173.208.212.130:8181/1080p/cctv8.m3u8
CCTV9,http://173.208.212.130:8181/1080p/cctv9.m3u8
CCTV10,http://173.208.212.130:8181/1080p/cctv10.m3u8
CCTV11,http://173.208.212.130:8181/1080p/cctv11.m3u8
CCTV12,http://173.208.212.130:8181/1080p/cctv12.m3u8
CCTV13,http://173.208.212.130:8181/1080p/cctv13.m3u8
CCTV14,http://173.208.212.130:8181/1080p/cctv14.m3u8
CCTV15,http://173.208.212.130:8181/1080p/cctv15.m3u8
CCTV16,http://173.208.212.130:8181/1080p/cctv16.m3u8
CCTV17,http://173.208.212.130:8181/1080p/cctv17.m3u8
CCTV5+,http://173.208.212.130:8181/1080p/cctv5p.m3u8






CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17

CCTV1,http://154.219.105.170:82/iptvYS5098.php?id=20000
CCTV2,http://154.219.105.170:82/iptvYS5098.php?id=20001
CCTV3,http://154.219.105.170:82/iptvYS5098.php?id=20002
CCTV4,http://154.219.105.170:82/iptvYS5098.php?id=20003
CCTV5,http://154.219.105.170:82/iptvYS5098.php?id=20004
CCTV5+,http://154.219.105.170:82/iptvYS5098.php?id=20005
CCTV6,http://154.219.105.170:82/iptvYS5098.php?id=20006
CCTV7,http://154.219.105.170:82/iptvYS5098.php?id=20007
CCTV8,http://154.219.105.170:82/iptvYS5098.php?id=20008
CCTV9,http://154.219.105.170:82/iptvYS5098.php?id=20009
CCTV10,http://154.219.105.170:82/iptvYS5098.php?id=20010
CCTV11,http://154.219.105.170:82/iptvYS5098.php?id=20011
CCTV12,http://154.219.105.170:82/iptvYS5098.php?id=20012
CCTV13,http://154.219.105.170:82/iptvYS5098.php?id=20013
CCTV14,http://154.219.105.170:82/iptvYS5098.php?id=20014
CCTV15,http://154.219.105.170:82/iptvYS5098.php?id=20015
CCTV16,http://154.219.105.170:82/iptvYS5098.php?id=20016
CCTV17,http://154.219.105.170:82/iptvYS5098.php?id=20017

CCTV1,http://123.118.63.55:8686/rtp/239.3.1.129:8008
CCTV2,http://123.118.63.55:8686/rtp/239.3.1.60:8084
CCTV3,http://123.118.63.55:8686/rtp/239.3.1.172:8001
CCTV4,http://123.118.63.55:8686/rtp/239.3.1.105:8092
CCTV5,http://123.118.63.55:8686/rtp/239.3.1.173:8001
CCTV5+,http://123.118.63.55:8686/rtp/239.3.1.130:8004
CCTV6,http://123.118.63.55:8686/rtp/239.3.1.174:8001
CCTV7,http://123.118.63.55:8686/rtp/239.3.1.61:8104
CCTV8,http://123.118.63.55:8686/rtp/239.3.1.175:8001
CCTV9,http://123.118.63.55:8686/rtp/239.3.1.62:8112
CCTV10,http://123.118.63.55:8686/rtp/239.3.1.63:8116
CCTV11,http://123.118.63.55:8686/rtp/239.3.1.152:8120
CCTV12,http://123.118.63.55:8686/rtp/239.3.1.64:8124
CCTV13,http://123.118.63.55:8686/rtp/239.3.1.124:8128
CCTV14,http://123.118.63.55:8686/rtp/239.3.1.65:8132
CCTV15,http://123.118.63.55:8686/rtp/239.3.1.153:8136
CCTV16,http://123.118.63.55:8686/rtp/239.3.1.184:8001
CCTV17,http://123.118.63.55:8686/rtp/239.3.1.151:8144

CCTV1,http://1.24.39.180:808/hls/1/index.m3u8
CCTV2,http://1.24.39.180:808/hls/2/index.m3u8
CCTV3,http://1.24.39.180:808/hls/3/index.m3u8
CCTV4,http://1.24.39.180:808/hls/4/index.m3u8
CCTV5,http://1.24.39.180:808/hls/5/index.m3u8
CCTV6,http://1.24.39.180:808/hls/6/index.m3u8
CCTV7,http://1.24.39.180:808/hls/7/index.m3u8
CCTV8,http://1.24.39.180:808/hls/8/index.m3u8
CCTV9,http://1.24.39.180:808/hls/9/index.m3u8
CCTV10,http://1.24.39.180:808/hls/10/index.m3u8
CCTV11,http://1.24.39.180:808/hls/11/index.m3u8
CCTV12,http://1.24.39.180:808/hls/12/index.m3u8
CCTV13,http://1.24.39.180:808/hls/13/index.m3u8
CCTV14,http://1.24.39.180:808/hls/14/index.m3u8
CCTV15,http://1.24.39.180:808/hls/15/index.m3u8
CCTV16,http://1.24.39.180:808/hls/60/index.m3u8
CCTV17,http://1.24.39.180:808/hls/61/index.m3u8
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8



CCTV1,http://222.223.41.27:8888/hls/1/index.m3u8
CCTV2,http://222.223.41.27:8888/hls/2/index.m3u8
CCTV3,http://222.223.41.27:8888/hls/3/index.m3u8
CCTV4,http://222.223.41.27:8888/hls/4/index.m3u8
CCTV5,http://222.223.41.27:8888/hls/5/index.m3u8
CCTV6,http://222.223.41.27:8888/hls/6/index.m3u8
CCTV7,http://222.223.41.27:8888/hls/7/index.m3u8
CCTV8,http://222.223.41.27:8888/hls/8/index.m3u8
CCTV9,http://222.223.41.27:8888/hls/9/index.m3u8
CCTV10,http://222.223.41.27:8888/hls/10/index.m3u8
CCTV11,http://222.223.41.27:8888/hls/11/index.m3u8
CCTV12,http://222.223.41.27:8888/hls/12/index.m3u8
CCTV13,http://222.223.41.27:8888/hls/13/index.m3u8
CCTV14,http://222.223.41.27:8888/hls/14/index.m3u8
CCTV15,http://222.223.41.27:8888/hls/15/index.m3u8



CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV2,http://69.30.245.50/live/cctv2.m3u8
CCTV3,http://69.30.245.50/live/cctv3.m3u8
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV5,http://69.30.245.50/live/cctv5.m3u8
CCTV5+,http://69.30.246.194/live/cctv5p.m3u8
CCTV6,http://69.30.245.50/live/cctv6.m3u8
CCTV7,http://69.30.245.50/live/cctv7.m3u8
CCTV8,http://69.30.245.50/live/cctv8.m3u8
CCTV9,http://69.30.245.50/live/cctv9.m3u8
CCTV10,http://69.30.245.50/live/cctv10.m3u8
CCTV11,http://69.30.246.194/live/cctv11.m3u8
CCTV12,http://69.30.246.194/live/cctv12.m3u8
CCTV13,http://69.30.246.194/live/cctv13.m3u8
CCTV14,http://69.30.246.194/live/cctv14.m3u8
CCTV15,http://69.30.246.194/live/cctv15.m3u8
CCTV16,http://69.30.246.194/live/cctv16.m3u8
CCTV17,http://69.30.246.194/live/cctv17.m3u8



CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV5+,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub

CCTV1,http://go.bkpcp.top/mg/cctv1$migu
CCTV2,http://go.bkpcp.top/mg/cctv2$migu
CCTV3,http://go.bkpcp.top/mg/cctv3$migu
CCTV4,http://go.bkpcp.top/mg/cctv4$migu
CCTV5,http://go.bkpcp.top/mg/cctv5$migu
CCTV5+,http://go.bkpcp.top/mg/cctv5p$migu
CCTV6,http://go.bkpcp.top/mg/cctv6$migu
CCTV7,http://go.bkpcp.top/mg/cctv7$migu
CCTV8,http://go.bkpcp.top/mg/cctv8$migu
CCTV9,http://go.bkpcp.top/mg/cctv9$migu
CCTV10,http://go.bkpcp.top/mg/cctv10$migu
CCTV11,http://go.bkpcp.top/mg/cctv11$migu
CCTV12,http://go.bkpcp.top/mg/cctv12$migu
CCTV13,http://go.bkpcp.top/mg/cctv13$migu
CCTV14,http://go.bkpcp.top/mg/cctv14$migu
CCTV15,http://go.bkpcp.top/mg/cctv15$migu
CCTV16,http://go.bkpcp.top/mg/cctv16$migu
CCTV17,http://go.bkpcp.top/mg/cctv17$migu


⚽🏀足球直播,#genre#
阿哲解密美加墨,https://live06.zuqiu106.com/live/64634795.m3u8
主播阿呆,https://live06.zuqiu106.com/live/45947183.m3u8
阿炮,https://live06.zuqiu106.com/live/86644976.m3u8
航哥解说,https://live06.zuqiu106.com/live/02603691.m3u8
奈奈,https://live06.zuqiu106.com/live/36571087.m3u8
小杜杜,https://live06.zuqiu106.com/live/66619329.m3u8
热巴,https://live06.zuqiu106.com/live/10397139.flv
阿梨,https://live06.zuqiu106.com/live/52765809.m3u8
蜜糖,https://live06.zuqiu106.com/live/39492499.m3u8
夜猫,https://live06.zuqiu106.com/live/13882370.m3u8
森林聊球,https://live06.zuqiu106.com/live/15781071.m3u8
天禄,https://live06.zuqiu106.com/live/47337902.m3u8
山鸡,https://live06.zuqiu106.com/live/95005714.m3u8
老马聊球,https://live06.zuqiu106.com/live/03735870.m3u8
欢喜宝哥,https://live06.zuqiu106.com/live/99354599.m3u8
老班长,https://live06.zuqiu106.com/live/95826850.m3u8
利哥,https://live06.zuqiu106.com/live/73853999.m3u8
小北聊球,https://live06.zuqiu106.com/live/25364189.m3u8
威少,https://live06.zuqiu106.com/live/23048255.m3u8
暖暖,https://live06.zuqiu106.com/live/58398678.m3u8
城北徐公,https://live06.zuqiu106.com/live/15960426.m3u8
阿酷,https://live06.zuqiu106.com/live/42573743.m3u8
足球六六,https://live06.zuqiu106.com/live/81400757.m3u8
六哥,https://live06.zuqiu106.com/live/60487662.m3u8
赖斯,https://live06.zuqiu106.com/live/64907352.m3u8
若林,https://live06.zuqiu106.com/live/32168392.m3u8
豆豆,https://live06.zuqiu106.com/live/36664869.m3u8
可可,https://live06.zuqiu106.com/live/57260225.m3u8
章鱼妹,https://live06.zuqiu106.com/live/11533559.m3u8
米苏,https://live06.zuqiu106.com/live/25685442.m3u8
多金妹妹,https://live06.zuqiu106.com/live/45743553.m3u8
老于,https://live06.zuqiu106.com/live/98011824.m3u8
卡尔,https://live06.zuqiu106.com/live/03646838.m3u8
奉先,https://live06.zuqiu106.com/live/56185622.m3u8
希希,https://live06.zuqiu106.com/live/08624066.m3u8
茉莉,https://live06.zuqiu106.com/live/98871911.m3u8
阿哲,https://live06.zuqiu106.com/live/64634795.m3u8
桃妖,https://live06.zuqiu106.com/live/96158820.m3u8
梦梦,https://live06.zuqiu106.com/live/79821231.m3u8

大飞,https://live13.zubmhu.com/live/18344034.m3u8
软软,https://live13.zubmhu.com/live/77737905.m3u8
薇月,https://live13.zubmhu.com/live/47782968.m3u8
兔兔,https://live13.zubmhu.com/live/97310381.m3u8
二狗,https://live13.zubmhu.com/live/75241502.m3u8
阿久,https://live13.zubmhu.com/live/61705985.m3u8
红单杰克,https://live13.zubmhu.com/live/39399728.m3u8
草莓,https://live13.zubmhu.com/live/10102989.m3u8
甜甜,https://live13.zubmhu.com/live/80777298.m3u8
飞哥侃球,https://live13.zubmhu.com/live/66138126.m3u8
悠米,https://live13.zubmhu.com/live/71225643.m3u8
小辣椒,https://live13.zubmhu.com/live/77683984.m3u8
小优,https://live13.zubmhu.com/live/15546880.m3u8
图图,https://live13.zubmhu.com/live/07824186.m3u8
苍井优,https://live13.zubmhu.com/live/69227368.m3u8
茶茶,https://live13.zubmhu.com/live/25006395.m3u8
鹰击长空,https://live13.zubmhu.com/live/70692098.m3u8
可馨,https://live13.zubmhu.com/live/14371201.m3u8
六六侃球,https://live13.zubmhu.com/live/99460265.m3u8
米莱,https://live13.zubmhu.com/live/73448574.m3u8
总舵主,https://live13.zubmhu.com/live/74457427.m3u8
纯纯,https://live13.zubmhu.com/live/88730672.m3u8
东北哈兰德,https://live13.zubmhu.com/live/01404647.m3u8
小妖精,https://live13.zubmhu.com/live/60882706.m3u8
探长,https://live13.zubmhu.com/live/84799094.m3u8
曼曼,https://live13.zubmhu.com/live/46979041.m3u8
油油,https://live13.zubmhu.com/live/51273596.m3u8
云朵,https://live13.zubmhu.com/live/31746045.m3u8
依依,https://live13.zubmhu.com/live/22447630.m3u8
奶龙,https://live13.zubmhu.com/live/03218778.m3u8
老豹,https://live13.zubmhu.com/live/61061076.m3u8
十安,https://live13.zubmhu.com/live/05624449.m3u8
小骚包,https://live13.zubmhu.com/live/10448297.m3u8
精彩回放1,https://live13.zubmhu.com/live/13868592.m3u8
精彩回放2,https://live13.zubmhu.com/live/90984583.m3u8
精彩回放3,https://live13.zubmhu.com/live/47622665.m3u8









卫视频道,#genre#

北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws

广东卫视,http://154.219.105.170:82/iptvYS5098.php?id=20020
深圳卫视,http://154.219.105.170:82/iptvYS5098.php?id=20022
广西卫视,http://154.219.105.170:82/iptvYS5098.php?id=20036
海南卫视,http://154.219.105.170:82/iptvYS5098.php?id=20035
河南卫视,http://154.219.105.170:82/iptvYS5098.php?id=20043
湖北卫视,http://154.219.105.170:82/iptvYS5098.php?id=20032
湖南卫视,http://154.219.105.170:82/iptvYS5098.php?id=20031
北京卫视,http://154.219.105.170:82/iptvYS5098.php?id=20023
天津卫视,http://154.219.105.170:82/iptvYS5098.php?id=20037
河北卫视,http://154.219.105.170:82/iptvYS5098.php?id=20042
江西卫视,http://154.219.105.170:82/iptvYS5098.php?id=20041
内蒙古卫视,http://154.219.105.170:82/iptvYS5098.php?id=20050
辽宁卫视,http://154.219.105.170:82/iptvYS5098.php?id=20038
吉林卫视,http://154.219.105.170:82/iptvYS5098.php?id=20040
陕西卫视,http://154.219.105.170:82/iptvYS5098.php?id=20047
黑龙江卫视,http://154.219.105.170:82/iptvYS5098.php?id=20034
东方卫视,http://154.219.105.170:82/iptvYS5098.php?id=20025
江苏卫视,http://154.219.105.170:82/iptvYS5098.php?id=20024
浙江卫视,http://154.219.105.170:82/iptvYS5098.php?id=20033
安徽卫视,http://154.219.105.170:82/iptvYS5098.php?id=20039
山东卫视,http://154.219.105.170:82/iptvYS5098.php?id=20030
东南卫视,http://154.219.105.170:82/iptvYS5098.php?id=20026
山西卫视,http://154.219.105.170:82/iptvYS5098.php?id=20048
重庆卫视,http://154.219.105.170:82/iptvYS5098.php?id=20028
四川卫视,http://154.219.105.170:82/iptvYS5098.php?id=20029
贵州卫视,http://154.219.105.170:82/iptvYS5098.php?id=20044
云南卫视,http://154.219.105.170:82/iptvYS5098.php?id=20054
西藏卫视,http://154.219.105.170:82/iptvYS5098.php?id=20027
甘肃卫视,http://154.219.105.170:82/iptvYS5098.php?id=20045
青海卫视,http://154.219.105.170:82/iptvYS5098.php?id=20046
宁夏卫视,http://154.219.105.170:82/iptvYS5098.php?id=20049
新疆卫视,http://154.219.105.170:82/iptvYS5098.php?id=20021
兵团卫视,http://154.219.105.170:82/iptvYS5098.php?id=20051
三沙卫视,http://154.219.105.170:82/iptvYS5098.php?id=20055

湖南卫视,http://123.118.63.55:8686/rtp/239.3.1.132:8012
东方卫视,http://123.118.63.55:8686/rtp/239.3.1.136:8032
浙江卫视,http://123.118.63.55:8686/rtp/239.3.1.137:8036
江苏卫视,http://123.118.63.55:8686/rtp/239.3.1.135:8028
深圳卫视,http://123.118.63.55:8686/rtp/239.3.1.134:8020
广东卫视,http://123.118.63.55:8686/rtp/239.3.1.142:8048
安徽卫视,http://123.118.63.55:8686/rtp/239.3.1.211:8064
天津卫视,http://123.118.63.55:8686/rtp/239.3.1.141:1234
重庆卫视,http://123.118.63.55:8686/rtp/239.3.1.122:8160
山东卫视,http://123.118.63.55:8686/rtp/239.3.1.209:8052
河北卫视,http://123.118.63.55:8686/rtp/239.3.1.148:8072
辽宁卫视,http://123.118.63.55:8686/rtp/239.3.1.210:8056
湖北卫视,http://123.118.63.55:8686/rtp/239.3.1.138:8044
吉林卫视,http://123.118.63.55:8686/rtp/239.3.1.240:8172
贵州卫视,http://123.118.63.55:8686/rtp/239.3.1.149:8076
东南卫视,http://123.118.63.55:8686/rtp/239.3.1.156:8148
江西卫视,http://123.118.63.55:8686/rtp/239.3.1.123:8164
海南卫视,http://123.118.63.55:8686/rtp/239.3.1.45:8304
黑龙江卫视,http://123.118.63.55:8686/rtp/239.3.1.133:8016
云南卫视,http://123.118.63.55:8686/rtp/239.3.1.26:8108
四川卫视,http://123.118.63.55:8686/rtp/239.3.1.29:8288
宁夏卫视,http://123.118.63.55:8686/rtp/239.3.1.46:8124
山西卫视,http://123.118.63.55:8686/rtp/239.3.1.42:8172
广西卫视,http://123.118.63.55:8686/rtp/239.3.1.39:8300
新疆卫视,http://123.118.63.55:8686/rtp/239.3.1.48:8160
河南卫视,http://123.118.63.55:8686/rtp/239.3.1.27:8128
甘肃卫视,http://123.118.63.55:8686/rtp/239.3.1.49:8188
西藏卫视,http://123.118.63.55:8686/rtp/239.3.1.47:8164
陕西卫视,http://123.118.63.55:8686/rtp/239.3.1.41:8140
青海卫视,http://123.118.63.55:8686/rtp/239.3.1.44:8184
内蒙古卫视,http://123.118.63.55:8686/rtp/239.3.1.43:8176
三沙卫视,http://123.118.63.55:8686/rtp/239.3.1.155:4120
厦门卫视,http://123.118.63.55:8686/rtp/239.3.1.143:4120
兵团卫视,http://123.118.63.55:8686/rtp/239.3.1.144:4120

北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视,http://go.bkpcp.top/mg/szws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江视,http://go.bkpcp.top/mg/hljws

河北卫视,http://222.223.41.27:8888/hls/16/index.m3u8
北京卫视,http://222.223.41.27:8888/hls/31/index.m3u8
天津卫视,http://222.223.41.27:8888/hls/32/index.m3u8
东方卫视,http://222.223.41.27:8888/hls/42/index.m3u8
重庆卫视,http://222.223.41.27:8888/hls/43/index.m3u8
湖南卫视,http://222.223.41.27:8888/hls/27/index.m3u8
浙江卫视,http://222.223.41.27:8888/hls/28/index.m3u8
江苏卫视,http://222.223.41.27:8888/hls/29/index.m3u8
山东卫视,http://222.223.41.27:8888/hls/34/index.m3u8
河南卫视,http://222.223.41.27:8888/hls/36/index.m3u8
吉林卫视,http://222.223.41.27:8888/hls/47/index.m3u8
辽宁卫视,http://222.223.41.27:8888/hls/33/index.m3u8
黑龙江卫视,http://1.31.14.70:54321/hls/15/index.m3u8
安徽卫视,http://222.223.41.27:8888/hls/30/index.m3u8
四川卫视,http://222.223.41.27:8888/hls/37/index.m3u8
江西卫视,http://222.223.41.27:8888/hls/38/index.m3u8
贵州卫视,http://222.223.41.27:8888/hls/39/index.m3u8
深圳卫视,http://222.223.41.27:8888/hls/40/index.m3u8
湖北卫视,http://222.223.41.27:8888/hls/41/index.m3u8
东南卫视,http://222.223.41.27:8888/hls/44/index.m3u8
广东卫视,http://222.223.41.27:8888/hls/45/index.m3u8
广西卫视,http://222.223.41.27:8888/hls/46/index.m3u8
内蒙古卫视,http://1.31.14.70:54321/hls/55/index.m3u8

浙江卫视,https://stream1.freetv.fun/27bde01f6e5506617bec575ba1293bfc0a149bafe1eb681562f3d956baae616a.m3u8
浙江卫视,https://play-qukan.cztv.com/live/1758879019692345.m3u8
江苏卫视,http://111.170.156.74:3344/地方频道/js.php?id=jsws4kpro


云南卫视,http://119.62.24.75:50085/tsfile/live/0018_2.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://119.62.24.75:50085/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://119.62.24.75:50085/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://119.62.24.75:50085/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://119.62.24.75:50085/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://119.62.24.75:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
